album_id,album_name,release_date,
141,Black  White,1969-01-01,
142,Crawfish Fiesta Remastered with Bonus Track,1980-01-01,
143,Tommy Castro Presents A Bluesman Came To Town,1996-06-08,
144,Unscheduled Flight,2003-01-05,
145,Texas Flood Legacy Edition,1983-01-01,
146,Blues and Gospel No. 2 Sam Hopkins Mono Version,1962-01-01,
147,Ghost World Original Motion Picture Soundtrack,1987-09-30,
148,Gospel Train Expanded Edition,1956-03-23,
149,Blues in My Soul,2013-06-18,
150,Medicine,2018-06-08,
151,Sisters  Brothers,1989-10-17,
152,At Home with Screamin Jay Hawkins,1958-01-01,
153,Baby Please Come Home Remastered,2019-08-03,
154,PeeWee Get My Gun,1997-01-01,
155,Cool Down,1996-01-01,
156,Mr. Scrappers Blues,2001-01-01,
157,Layla And Other Assorted Love Songs Remastered 2010,1970-11-01,
158,Ragtime Guitars Foremost Fingerpicker,1990-11-12,
159,Presenting Kokomo Arnold,1995-09-09,
160,Straight from the Heart,1982-01-01,
161,Ma Rainey,1992-01-01,
162,Blues With A Mood,2013-02-07,
163,Rory Gallagher Remastered 2017,1971-05-23,
164,Music by Ry Cooder,1995-01-01,
165,Shake for Me,2010-03-16,
166,Down The Road Apiece The Best Of Amos Milburn,1994-01-01,
167,Round Every Corner,1990-01-01,
168,Midnight Blue,2014-01-14,
169,In The Right Place,1973-01-01,
170,Songlines,2006-02-21,
171,Kidney Stew The Definitive Black  Blue Sessions,1978-01-01,
172,Hattiesburg Blues,2008-06-02,
173,The Paris Sessions,1994-04-16,
174,American Epic The Best of Memphis Jug Band,2017-05-12,
175,TwoFisted Mama,1989-01-01,
176,Rough Cut,2018-01-12,
177,Fitchburg Street,2003-02-25,
178,Recapturing The Banjo,2008-01-01,
179,The Plumber,1989-02-27,
180,True To Yourself,2004-08-31,
181,Lie To Me,1997-01-01,
182,Vintage Vinos,1988-01-01,
183,Show Me The Money,2014-03-09,
184,Cant Look Back,2002-01-01,
185,Pink Anderson Carolina Medicine Show Hokum and Blues with Baby Tate,1984-01-01,
186,Presenting Robert Petway,2000-12-03,
187,Odetta Sings,1970-12-01,
188,A Space in Time Deluxe Version,1971-11-11,
189,Blue Drops Of Rain,1995-01-01,
190,Jungle Blues,2008-01-01,
191,I Had To Get With It The Best Of The Imperial  Minit Years,2004-01-01,
192,Presenting Victoria Spivey,2006-11-21,
193,I Cant Lose,2015-05-15,
194,Spare Keys,2016-09-07,
195,Chills  Thrills,1988-05-30,
196,Vol. 1 Blues Wont Let Me Take My Rest,2015-06-16,
197,Hellbound Train,1972-01-01,
198,Live From Austin TX,2007-06-26,
199,Pushin My Luck,2001-11-06,
200,Cost of Living,2017-08-11,
201,The Bluebird Recordings 19411942,1997-01-28,
202,Raisin A Ruckus,2009-06-18,
203,Presenting Barbecue Bob,2011-02-25,
204,Presenting Casey Bill Weldon,2012-02-02,
205,Raising the Roof Remastered,2012-05-01,
206,Texas Worried Blues Complete Recorded Works 19271929,1989-01-01,
207,Johnnie B. Bad,2005-11-01,
208,Delta Hurricane,1993-03-06,
209,Negro Prison Blues And Songs,1990-01-01,
210,Drive To Survive,1996-08-20,
211,Up All Night,2012-05-25,
212,Move On Down The Line,2009-01-01,
213,From the Reach,2008-05-26,
214,Zoltars Walk,2006-06-27,
215,Freight Train and Other North Carolina Folk Songs and Tunes,1989-12-01,
216,Dedicated A Salute To The 5 Royales,1992-06-20,
217,Grand Union,1998-03-01,
218,Come to Find,1994-10-25,
219,Times Have Changed,2017-01-20,
220,Crawfish Lady,2000-04-18,
221,The Blues Brothers Original Motion Picture Soundtrack,1980-01-01,
222,Vivid Sound,1990-12-12,
223,19561958 Cobra Recordings,1987-01-25,
224,Standing My Ground,1989-01-01,
225,Hoodoo Man Blues,1991-01-01,
226,The Very Best of Jimmy Reed,2003-01-01,
227,The Real Folk Blues,1966-01-01,
228,Mojo Hand,1962-04-13,
229,TBone Blues,2005-03-29,
230,Sings Raining In My Heart,1998-01-15,
231,Someday,2012-06-01,
232,The Earthshaker,1978-01-01,
233,Natural Man Expanded Edition,1987-11-19,
234,At The Gate Of Horn,2005-02-17,
235,Genuine Houserocking Music,1982-01-01,
236,Big Bill Broonzy Vol. 6 1937,1992-01-01,
237,Howlin Wolf,1962-01-11,
238,My Baby,2021-02-13,
239,Harp Attack,2001-01-04,
240,All Over You,2020-01-17,
241,The USA Records Blues Story,1989-01-10,
242,Hawk Squat,2014-05-06,
243,Presenting Bukka White,1994-02-15,
244,Blue Streak,1998-11-25,
245,Johnny Shines and Robert Lockwood,2008-01-13,
246,East Coast Piedmont Style,1991-04-09,
247,Slims Shout,2004-04-04,
248,In This Mess Up to My Chest,1987-07-29,
249,King Of The Delta Blues,1936-01-01,
250,Classic Delta Blues,1966-01-01,
251,Good Morning Little School Girl,1994-01-01,
252,Blues From The Delta,1998-01-01,
253,Damn Right Ive Got The Blues,1991-01-01,
254,Thats All Right Mama The Fire Sessions,2006-07-03,
255,Blues Guitar Boss,1990-01-01,
256,Heap See Blues Reference Recorded in Montreux 1978  Paris 1983,2009-03-18,
257,Louisiana Red Sings The Blues,2005-12-20,
258,Deluxe Edition,1997-09-09,
259,Presenting Blind Willie McTell,2011-11-02,
260,Presenting Memphis Minnie,1998-05-16,
261,Baby Baby Baby,1990-01-01,
262,Rollin  Tumblin,2010-06-10,
263,The Complete Folkways Recordings,1993-06-01,
264,Hometown Blues,2020-02-14,
265,Bluebird Blues  When The Sun Goes Down Series,2003-09-08,
266,The World Dont Owe Me Nothing,2001-06-23,
267,Catch Up With The Blues,1994-01-01,
268,God Knows I Tried,1998-01-01,
269,Superhits from the 70s,2017-01-27,
270,Heartaches And Pain,1994-01-01,
271,Trouble In Mind,2008-01-01,
272,Strange Pleasure,1994-04-12,
273,Presenting Furry Lewis,2002-09-17,
274,Blues KnightsChicago Blues Festival 1985 Blues Reference,2005-01-01,
275,A Hard Road,1967-02-17,
276,The Modern Legacy,2010-10-21,
277,The Son Seals Blues Band,1973-01-01,
278,The Turning Point,1969-01-01,
279,Take This Hammer  The Complete RCA Victor Recordings  When The Sun Goes Down Series,1990-01-01,
280,Live  Attack Of The Killer V,1990-06-07,
281,Wizard Of The Harmonica,1991-01-01,
282,Just Like YouSuitcase,1996-01-01,
283,Maxwell Street,2016-09-09,
284,Thats What I Heard,1989-02-11,
285,J.L.W.,1994-01-01,
286,Motivational Speaker,2005-06-14,
287,Down In Mississippi,1998-01-13,
288,In the Skies,1979-01-01,
289,The Complete Recordings Vol. 4,2004-09-05,
290,The Son Of A Bluesman,2014-06-16,
291,Take Me Back,2018-03-22,
292,Tuff Enuff,1986-06-10,
293,I Pity The Fool The Duke Recordings Vol. One,1992-12-22,
294,The Honeydripper,2011-08-01,
295,In My Soul,2020-01-31,
296,Canned Heat,1967-01-01,
297,West Side Strut,2009-06-18,
298,Marshall Texas Is My Home,1996-12-28,
299,The Big Break,2005-03-05,
300,The Real Deal,1989-01-01,
301,They Called It Rhythm  Blues,1988-06-16,
302,You Cant Lose What You Aint Never Had,1992-06-27,
303,Fish Aint Bitin,1997-01-01,
304,Hot Wire 81 feat. Richard Kirch Sylvester Boines Jimmy Schutte Blues Power,2008-02-10,
305,Make It Rain,2014-03-21,
306,Hoodoo,2008-01-01,
307,New Orleans Piano Mono,1972-01-01,
308,Raisin Cain,1993-12-06,
309,Couldnt Stand The Weather Legacy Edition,1984-01-01,
310,The Original Rolling Stone,2006-05-22,
311,Presenting Sister Rosetta Tharpe,2003-09-13,
312,Power Of The Pontchartrain,2007-01-01,
313,Good Stuff,1992-06-19,
314,Screamin the Blues,2013-04-08,
315,The Man,1978-09-22,
316,Street Talkin,1975-01-07,
317,Down And Out Blues,1959-01-01,
318,Presenting Robert Lockwood Jr.,1987-10-28,
319,The Best Of Lightnin Hopkins,2008-07-19,
320,Blues Follow Me All Day Long The Complete Shelter Recordings Of Jimmy Rogers  Chicago Blues Master,1995-01-01,
321,Sweet Giant of the Blues,1993-11-24,
322,From The Heart Of A Woman,1981-01-01,
323,Martin Scorsese Presents The Blues J.B. Lenoir,1991-12-03,
324,Hate To See You Go,1969-08-07,
325,The Chess Box,1989-11-07,
326,Beware of the Dog,1976-01-01,
327,Forever On My Mind,1994-10-13,
328,Vol. 2 The PostWar Years,2004-10-06,
329,The Essential Earl Hooker,1977-07-30,
330,Straighten Up Baby  My Baby,2007-09-11,
331,My Feeling For the Blues,1969-01-01,
332,La cave saravah vol.1,2012-05-03,
333,Farewell Song,1982-02-01,
334,Goin To Chicago,2003-01-01,
335,Chronicle,1979-01-01,
336,Serious,1994-08-23,
337,Johnny Shines,1993-12-16,
338,I Hear Some Blues Downstairs,1993-08-25,
339,I Didnt Give a Damn If Whites Bought It Vol. 4,2013-04-08,
340,Too Cool to Move,2007-06-08,
341,King Of The Delta Blues Singers Volume 2,1936-01-01,
342,Steakbone Slide Guitar,1997-10-03,
343,Skip James Live Vol. 2 Bloomington 1968 Part 1,1992-10-08,
344,The Best Of Lightnin Slim,1989-12-22,
345,Mississippi Son,1987-09-28,
346,Presenting Arthur Big Boy Crudup,1995-06-08,
347,Living Chicago Blues Vol. 1,1978-09-01,
348,Frostbite,1980-01-01,
349,Blues Around The Clock Remastered,1998-06-27,
350,Too Bad Jim,1987-04-22,
351,Blues  Ballads,2010-03-02,
