song_id,playlist_id,,
4CgbpCYQm5TRNt04a2fzS5,1,,
0P1NVWntMal7tHrLG1HxEC,1,,
0aF6dyaQOHXteyX91EoiJz,1,,
3iltRlox3jEeSKuqdW88EK,1,,
2uoOm55gLvLMALwXmKrwXc,1,,
2GzAj71NtyFHnIHbts9neo,1,,
0eIvaD41ZuT8Eg5uDvfSKs,1,,
75VD3W1i1keEBCwPCxHldB,1,,
6CNeLVEYGu9aMZbCLNVDXr,1,,
0JClqG0W7vo0oXUCzSkKf2,1,,
1WVh4LQBjRhooTIYmMpAu4,1,,
50vLqqEpd41YoXw4HQHPsT,1,,
5LTMzb6lrWkdgNl4CNwfwx,1,,
5XtVpa3LiJHfnTxRzbfU74,1,,
512gC8sU5PxZAFrskHEfzk,1,,
73qNHMPnanBGsxD1cQ2ojn,1,,
1PC5GV3OaoXx5em8ttQOMI,1,,
2nKEXYFllpUyQUyDw3MVfF,1,,
2I74IqSUjq6Wyyj0RrbxID,1,,
0jtz7Ia3HahOqXWnKad0rn,1,,
2r6Ve8kNEzqg3u45UL0muX,1,,
45i73H5FvrR0jbwvG8mVSS,1,,
3NAdZyw0IweJzzIWFestlQ,1,,
1a2iF9XymafjRk56q7oCxo,1,,
5GS6vxaoatLDWZqOoOtHKd,1,,
17HuPAGnau4TRcKiFTdFFB,1,,
3O3Zzre0FPv6GNTeInm6Md,1,,
2R9FSH9RWe396G2lisztzk,1,,
6cVq1RHL5IDT1YSN7V1QkB,1,,
3zXfuTPCPrPfHSLiH3uMJe,1,,
3sLhMSePzxSrmxluIqeoAZ,1,,
3xb0lNIMIMhCO14fGDIyBh,1,,
59ColbZ3X09ijVX5awG8jQ,1,,
4tmTjqwtnt18WACQ4ODN2r,1,,
1nDisQht8pskK4lbeSgqw1,1,,
2kkvB3RNRzwjFdGhaUA0tz,1,,
7n8O4Z90ROVLKDwWeRT7Dr,1,,
2EJb2CXS3NUKS8wfzmMVog,1,,
30Hrgpp6gqufsaSY7F7txp,1,,
7KZ6eGK7OuLXUzTVGdc7cL,1,,
0GhOy6geN25EdE6vlZrXgg,1,,
4MqFHxNM8uM7UEW4t56nzU,1,,
1idiifjTcCoGfBeZiYOdim,1,,
4tS48XY46qxqdzqYOujEnm,1,,
1T7ZI5Z9XHFeSZU0KTEVZz,1,,
390SoXV3B8FdjyoNTWbZfr,1,,
7cOzgDiU8MLB8IkK1RsWn1,1,,
0I2ELF6uHlL4ABu9aFiou7,1,,
20Rl0qVkWJXhoOIYKTBnX7,1,,
0LA1P4jVcRRY5RgYPONRy2,1,,
7qs2lxaKqVJvLnShNmB0CI,1,,
4r8SUh9LlVOph5jfx1Q4nE,1,,
3P4Gea27d72D1y0YwDdpWq,1,,
7cUsW9mL1lf2a7rACOS5dA,1,,
4SCge41oDQOTIcfmhnYvAQ,1,,
0yqpt8kklxBeMD8dpvoD8l,1,,
0VW1dAC98JfVPLGd7oj2lM,1,,
4LzDBTzu9Nuwmy3f03X2CD,1,,
1Lj5iw5MbxYQ6Eu44t5hTn,1,,
2glwN5raCeEn0EdjKrNw6i,1,,
6DCALWbYX0BCOAGy0hMmRs,1,,
3b6wUTEuMoarUGWb9d5kLj,1,,
11cESBsdgnYNiBMmdFiiMk,1,,
19aE9JrFOAlIgHWPm8ni37,1,,
6SHY7l1MnVRL6bpecfr1SE,1,,
2keoEzk1hbZD5fw3SHJ0H3,1,,
4YJ1KDI6tUSapyD6XTAg8i,1,,
7n3WO6ESKS1uCI9fgkGs66,1,,
1qtdOYQJCvQByFnxWvpz4C,1,,
1th3PrxWqMrDJeCxHL6gH1,1,,
1Y7PR1ThUf9Q5rPOnNAeWK,1,,
6a8dj8aEePSuxRdinOHVtF,1,,
4wMgpoQRdho9EydxvZBfOA,1,,
4L5CoX6wjqXCgz2j423TeX,1,,
0skbvkOV05qLg59AwhDwbY,1,,
2uYbT9w61amgpdsxN9Ozx3,1,,
3IPpgcViKQ2E81XgMnT3yw,1,,
7eG1BnCa7VYmbNM5uMuCRN,1,,
4bkP8kgURzdcy6kb0RyV74,1,,
3Z6CsStOnLhwMlFEhTg9T3,1,,
75GGQpqQwXVnIK5UPKEveI,1,,
28hAbUS1ml3FK4fOyshS99,1,,
6ddW43iu0xvDjFeEVxTgXk,1,,
5jtf7Po8DDZoHK3APUUWeu,1,,
6JQ2ea1sN8sguE1XWvYQlD,1,,
3iS8LUhAd7dgSJcBGNEhfi,1,,
7eGAVjUPCA6sQ0vR3xenwf,1,,
4eL5gboRL6w3KU3qvvSxLP,1,,
6LYtBOkkTUNQ6RTHAyFflL,1,,
21KesEVtM4qjz5DszRT5jr,1,,
5Slvh2ZqC9ZFFX57MuAdx6,1,,
0OaJJswWnsxmeyOnLwUZKm,1,,
7tCZOAxyB7a41TGe2liLHu,1,,
1QUeDz1qJAwl7m4nYmEIWJ,1,,
5UlokrsKgBObpODBXwTW0B,1,,
5kOI40ScJts057FfbPuPN7,1,,
5pr6IqzE159r8sDiPilG49,1,,
1iHbbd44X6nmnF6may22sd,1,,
1asEw2nftED92wW9t6q2ao,1,,
4ELNJYhb5QgG4eqTPnnAkS,1,,
1CtKHwDqsH3ctcCCI18N0g,1,,
2YUciaeXBmsmLNTEKpOS11,1,,
3JggrSor1wtd74bvF2fsmz,1,,
3GlWQKV9uiSui0AoOZ8PaM,1,,
1Q6anBZ21FGcaHvR50d326,1,,
05oMNN5Rbv6rVqyFFG9uTl,1,,
60Xj5mdE068zva3Kjdn0xQ,1,,
1aHR9fHIvmcNQ9oOVqQExT,1,,
22rdkPDxRvaJ6y5zN3QYc0,1,,
6X27jyPX2QZZkDt0VHrwOg,1,,
41s9iG3fTuu32yBnmDLCcZ,1,,
3Gq3uFAdJltar4ddwboPby,1,,
3gg0xEc2b4eEbYySLmfFU1,1,,
2DbjWyRtXmbOGyN1C1Kdbp,1,,
5Mpt8MfB3OUJIERUnjOGum,1,,
5ZUxxja3WzBZUFF6P9M9HN,1,,
0HDVrhFUpCvPpTntHeqnxT,1,,
0RRdZvhfPvt05CyLtfxZMT,1,,
57W5o6ojTFtydDMZ0mDDB3,1,,
0yhaJakScntU0D11JtaNDH,1,,
3KSchPNSklO5McIqRH3qYX,1,,
4lbqUtqgX3dITgYJMBjCDS,1,,
