song_id,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,artist_id,album_id
0SiywuOBRcynK0uKGWdCnn,Bad Romance,82,0.696,0.921,-3.755,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,294573,pop,1706,4171
4WCAb7rGU70hyx3m9joKCx,up at night feat. justin bieber,63,0.563,0.756,-3.852,0.0579,0.196,0,0.245,0.234,100.012,182227,pop,1709,4172
6fhWH0doyn7cSOgjgsuLPh,Hold On Were Going Home,56,0.458,0.572,-6.837,0.0969,0.154,1.40E-05,0.117,0.344,89.261,181600,pop,1689,4173
6Wrx0ZDaB3dxBDl1ZnddXT,Wish I Never Met You,60,0.621,0.692,-5.279,0.217,0.0797,0,0.0806,0.705,165.967,204733,pop,1711,4174
5v6qYImm5k36GHlFxdEZyv,Moral of the Story feat. Niall Horan  Bonus Track,70,0.579,0.37,-8.9,0.0383,0.496,0,0.221,0.216,119.799,198515,pop,1704,3304
0ibG3XCJ32Qq9maUY4AViR,How Can I Forget,62,0.796,0.53,-5.967,0.0558,0.69,0,0.0646,0.754,105.031,177141,pop,1680,4175
6kopmMZiyLmw7h66uXcXR7,Valerie feat. Amy Winehouse  Version Revisited,75,0.699,0.83,-4.898,0.0633,0.00243,0.00024,0.0995,0.889,105.809,219413,pop,1701,4176
1oi3vkeOGXAd3qljM5o9Oe,Tattoo,56,0.566,0.766,-5.036,0.0399,0.431,0,0.101,0.547,168.005,233467,pop,1708,3308
78zUxUPvONPgMIt46q5be6,Please Keep Loving Me,67,0.537,0.469,-8.486,0.0764,0.117,1.78E-06,0.106,0.294,175.971,195920,pop,1710,4177
3AMQKTsIR0ukMOXvPkwaKz,Set Me Free,64,0.449,0.39,-8.263,0.0363,0.256,0,0.147,0.123,130.11,242733,pop,1715,4178
4UrkPTyYTshiX5Kwfbggwm,Sweet Talker,60,0.427,0.901,-3.597,0.0485,0.224,0,0.0698,0.641,121.004,177662,pop,1712,4179
1x80xTzSL7pok3M5JC3oJz,human,62,0.439,0.489,-6.286,0.0368,0.132,0.000643,0.114,0.253,143.808,250707,pop,1699,4180
6lDo13SSgTv0WbyUQKgnjk,Light It Up feat. Nyla  Fuse ODG  Remix,50,0.746,0.877,-3.782,0.0666,0.0375,0.000833,0.233,0.751,107.985,166138,pop,1714,4181
0zMzyHAeMvwq5CRstru1Fp,Lost Boy,68,0.586,0.128,-9.297,0.0496,0.963,0,0.0858,0.371,123.498,276067,pop,1695,3295
3p2wS6G159mBIU50xl7uvc,Future Starts Now,61,0.693,0.853,-4.241,0.0503,0.00329,0.000193,0.123,0.432,119.948,279271,pop,1718,4182
5OdNjYTpLjuDDPCBNWonRX,At My Worst feat. Kehlani,64,0.731,0.484,-5.579,0.0354,0.73,3.01E-06,0.326,0.35,92.043,169128,pop,1707,3307
3nqqDo8CcCLke3ZoTgiOKf,The Man Who Cant Be Moved,73,0.605,0.629,-5.051,0.0279,0.437,0,0.097,0.308,99.894,241373,pop,1717,3872
0KXvGydCYbBgHUlqrDbz3N,Somebody,59,0.459,0.734,-4.587,0.0374,0.0748,0,0.0743,0.289,164.583,208867,pop,1713,3730
7sOwVYliBTmB30E37tqces,2 Cigarettes,55,0.759,0.678,-8.066,0.0618,0.271,0,0.103,0.238,111.974,229827,pop,1719,3319
6w8pFOKn42O418qwcQElZ3,Waves,75,0.518,0.729,-7.193,0.0452,0.183,0,0.0643,0.343,156.879,240013,pop,1716,3316
1TWNKyNQOBfNUkWWs7FooF,XS,63,0.635,0.929,-3.256,0.146,0.0854,1.14E-06,0.0822,0.59,117.039,201060,pop,1724,4183
3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,76,0.715,0.624,-3.046,0.114,0.11,0,0.123,0.412,158.087,173325,pop,1703,4184
0qU3XhIH9xczYPUWV6OopS,Forgive Me,61,0.707,0.651,-3.156,0.0669,0.0406,5.95E-06,0.449,0.562,137.017,157867,pop,1727,3327
7FVGIPgLMDChTffvG2LuHV,Holy,57,0.614,0.585,-9.483,0.164,0.134,0.000129,0.0948,0.211,169.905,174667,pop,1723,4185
4rHZZAmHpZrA3iH5zx8frV,Mirrors,78,0.574,0.512,-6.664,0.0503,0.234,0,0.0946,0.512,76.899,484147,pop,1729,4186
22VPpAWB7qzV8L9rgza11j,Hopeless Romantic,66,0.654,0.636,-6.913,0.0391,0.117,0.00179,0.0919,0.392,113.994,181178,pop,1722,4187
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,85,0.76,0.703,-5.412,0.054,0.103,0,0.0913,0.57,95.997,231827,pop,1740,4188
5lkpeJwmQKgY3bX2zChjxX,Someone Like You,44,0.556,0.319,-8.251,0.0281,0.893,0,0.0996,0.294,135.187,285240,pop,1730,3858
0110a0AM2nOV8yYa9u6kjQ,Love Me Like a Friend,63,0.713,0.764,-5.57,0.0294,0.0718,0,0.0708,0.962,125.052,202267,pop,1728,3882
0xZiz15tkiUxCTalU5hkRr,Sunshine  City Lights,56,0.692,0.522,-6.728,0.0462,0.689,0,0.154,0.341,130.946,223013,pop,1733,4189
5r43qanLhUCdBj8HN3fa6B,Sunshine,82,0.697,0.875,-4.621,0.034,0.137,0,0.28,0.774,140.069,163855,pop,1720,4190
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,76,0.7,0.709,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,202960,pop,1735,4191
4bAFo6r2ODMDoqM5YHV2gM,I Like To Move It,67,0.842,0.791,-5.277,0.0437,0.428,0,0.0989,0.95,126.962,221467,pop,1726,4192
3RdOimLk6CxkaYMYtGTCB9,Dumb Love,61,0.57,0.423,-5.858,0.0301,0.028,0,0.0614,0.169,76.961,206162,pop,1736,3880
5EjlKmbefO401Kra4OoN83,she knows it,63,0.612,0.806,-5.502,0.0697,0.0381,1.33E-06,0.0937,0.688,174.853,156585,pop,1732,4193
2oxtQ84p1j5GmyzmD50Lq0,Rich Girl,69,0.856,0.754,-2.728,0.0416,0.0294,1.49E-05,0.206,0.722,98.018,236213,pop,1734,3884
6IPNp9PfaEqrzotY47TIWy,SG with Ozuna Megan Thee Stallion  LISA of BLACKPINK,77,0.8,0.837,-2.807,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,pop,1737,4194
52xFKeXEHm2fI8jpia0oUS,Quietly Yours,69,0.442,0.355,-14.27,0.0574,0.838,0.003,0.114,0.293,154.223,234156,pop,1739,4195
0TzeZppPwhEhySYaNRulr9,please,58,0.718,0.166,-15.82,0.0344,0.887,0.0216,0.131,0.237,97.947,219067,pop,1745,3835
4iGjLLvo4Pax82YX3jE3Q1,Lonely Heart,68,0.786,0.733,-4.283,0.0337,0.0664,0,0.0564,0.81,123.973,167527,pop,1721,4196
4UPZpRotT2V63Ev0vMRSOM,Cant Feel My Face,63,0.668,0.678,-4.65,0.0491,0.17,0,0.0498,0.321,107.991,201885,pop,1744,4116
18RdChpgvaAO7GXDjLks2B,Friends,66,0.747,0.537,-5.76,0.0413,0.198,1.26E-05,0.18,0.453,97.056,178299,pop,1746,4197
05XtssRLI22p8wLFIr7Vrl,Heroes we could be,56,0.503,0.748,-4.124,0.0619,0.0305,0,0.343,0.356,125.896,210013,pop,1725,4198
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,77,0.692,0.684,-7.364,0.155,0.131,0,0.156,0.406,112.912,231253,pop,1743,4199
7cYLxxt7szZ5tkOPVWZyfO,Joan of Arc on the Dance Floor,57,0.649,0.807,-6.482,0.0348,0.00283,5.09E-05,0.0434,0.462,119.994,206867,pop,1741,4200
3h8tI65xdfpQyTAy7Grqwa,Potion with Dua Lipa  Young Thug,72,0.824,0.697,-4.869,0.0473,0.158,4.11E-05,0.0751,0.757,99.987,215216,pop,1742,3894
4Of7rzpRpV1mWRbhp5rAqG,Bruises,79,0.736,0.308,-7.83,0.0677,0.946,0,0.186,0.361,111.202,220492,pop,1738,3337
4Jz4bjXeiF2SXVj9P4YfY5,Keep Your Head Up,70,0.674,0.778,-5.367,0.0376,0.0469,0,0.145,0.816,90.01,189933,pop,1751,4201
73QyyUMMvtNELmULI4FOsp,You for Me,73,0.733,0.886,-1.856,0.0426,0.0481,1.81E-06,0.191,0.696,126.031,175435,pop,1747,4202
2Gs2mHNQF2Lt7a9iIarcji,Psycho,60,0.562,0.765,-2.967,0.21,0.613,0,0.0774,0.707,118.879,184640,pop,1750,4203
60vXjxt41zVWPGIM4fZRCk,Only One,53,0.774,0.485,-5.887,0.0864,0.257,0,0.0862,0.696,123.008,191220,pop,1752,4204
48EDM7iimVXiKEOdo4AJk6,Everybody Wants You,62,0.657,0.582,-6.735,0.0646,0.113,0,0.182,0.574,82.023,200861,pop,1748,4205
4N2LGoEJi3aGDgEAnsjtBz,Walked Through Hell,64,0.508,0.404,-11.092,0.0788,0.664,0,0.104,0.129,81.713,216865,pop,1753,4206
1ODRbz1jZsSrTkpTVcYElX,The Hardest Part,60,0.499,0.43,-8.932,0.0731,0.713,0,0.15,0.4,161.875,203600,pop,1731,4207
1bdm32mVmoGcek5bVKxQKd,DFMU,69,0.708,0.673,-4.163,0.0585,0.499,0.000233,0.103,0.311,136.969,197520,pop,1755,3905
1le5KVGTF1xWf2aUj7ruLy,Fallin For You,61,0.644,0.834,-6.473,0.0275,0.156,0,0.112,0.593,117.043,215547,pop,1749,4208
6qTkFd7eFndvexoySUmpNq,MUTUAL FRIEND,63,0.511,0.341,-8.716,0.0429,0.728,0,0.0927,0.388,99.849,206943,pop,1761,4209
3dFwpxh2yH7C7p9BGEKLVB,Goodies feat. Petey Pablo,67,0.826,0.647,-6.306,0.0491,0.0277,1.52E-06,0.298,0.872,102.017,223000,pop,1757,3355
6KfoDhO4XUWSbnyKjNp9c4,Maniac,81,0.628,0.639,-5.46,0.0435,0.00162,0,0.354,0.493,108.045,185773,pop,1758,3356
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,84,0.78,0.689,-5.668,0.141,0.0368,9.69E-06,0.0698,0.642,115.042,225389,pop,1756,3354
1RBcfq4Wi4ByvMKVspjZOz,Whippin feat. Felix Snow,44,0.87,0.502,-7.497,0.0553,0.549,0.00356,0.0916,0.673,82.524,160597,pop,1754,3352
0PG9fbaaHFHfre2gUVo7AN,Please Me,73,0.747,0.57,-6.711,0.081,0.0642,0,0.0832,0.65,133.992,200890,pop,1759,4210
29he0Joo5sz2607A6ZBT6H,Come Through feat. Chris Brown,65,0.612,0.423,-8.062,0.0508,0.588,0,0.117,0.18,135.841,214093,pop,1760,4211
3eR23VReFzcdmS7TYCrhCe,It Aint Me with Selena Gomez,76,0.64,0.533,-6.596,0.0706,0.119,0,0.0864,0.515,99.968,220781,pop,1765,4212
4gbVRS8gloEluzf0GzDOFc,Maps,82,0.742,0.713,-5.522,0.0303,0.0205,0,0.059,0.879,120.032,189960,pop,1762,3668
0WOvSEVpUGkNufX0w0M06F,13,70,0.784,0.539,-8.148,0.0628,0.69,1.75E-05,0.0367,0.697,133.963,234818,pop,1764,4213
5Lu0vv78RmKZeBPpP1N8za,With You,65,0.648,0.607,-6.399,0.0577,0.3,0,0.163,0.356,154.901,154651,pop,1766,4214
7tmtOEDxPN7CWaQWBsG1DY,Hold Back The River,64,0.715,0.715,-7.364,0.0904,0.0526,0,0.0936,0.506,134.923,238747,pop,1763,3361
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,80,0.72,0.706,-4.719,0.0473,0.0684,0,0.166,0.62,133.002,187436,pop,1769,3367
1gX4wETtMGvOB7u1proVfj,Call On Me,63,0.582,0.889,-4.386,0.0491,0.021,0,0.687,0.438,121.977,194880,pop,1772,4215
4W1JavoraGzh83nluQHY6C,You Were Loved with OneRepublic,68,0.636,0.69,-5.011,0.0484,0.0947,0,0.169,0.444,123.994,221885,pop,1770,4216
1dytORtqcfaRkTqPyH2iQy,Send It feat. Rich Homie Quan,56,0.737,0.585,-6.252,0.0975,0.186,0,0.115,0.693,147.064,181003,pop,1767,4217
1lKuCdRnJbaDr2GZEGqid7,Na Na,1,0.67,0.476,-6.253,0.0406,0.328,0,0.104,0.235,96.975,231907,pop,1775,4218
4HffeEF97c6UxNePgbuECW,Pancakes for Dinner,66,0.753,0.266,-11.453,0.0478,0.759,0,0.11,0.321,142.026,235035,pop,1776,4219
1Oi2zpmL81Q0yScF1zxaC0,Bills Bills Bills,72,0.845,0.576,-5.15,0.153,0.139,0,0.0764,0.461,127.641,256027,pop,1774,3372
5KcT9rJDqQJUSFF3O9wPJ5,Always You,69,0.632,0.724,-4.821,0.0308,0.0384,0,0.0554,0.553,100.073,187467,pop,1768,4220
2oENJa1T33GJ0w8dC167G4,Fire Burning,71,0.839,0.804,-2.513,0.0329,0.0192,0,0.331,0.888,122.973,239987,pop,1771,4221
32tUYhAygMdx9XxFxxj3It,Susie Save Your Love,55,0.646,0.595,-6.709,0.0512,0.00457,5.79E-06,0.0527,0.772,73.973,238880,pop,1783,3924
5TTXEcfsYLh6fTarLaevTi,lowkey,77,0.752,0.494,-8.18,0.0559,0.432,0,0.0869,0.227,117.901,171356,pop,1778,4222
7bMkcxifc4EjIQKw49EC7h,September Song  Guitar Acoustic,66,0.593,0.394,-8.946,0.029,0.355,0,0.121,0.543,94.909,212153,pop,1780,3378
45hOioMDJktr86iKDHC8gr,Girlfriend,75,0.56,0.959,-2.433,0.102,0.000722,0.000221,0.209,0.669,163.983,216600,pop,1781,4223
5unXHHcSQLGO19RuVqZB6d,The Most Beautiful Thing,70,0.806,0.362,-10.381,0.0345,0.535,0.045,0.111,0.42,127.502,235427,pop,1773,3371
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones feat. Sia,77,0.608,0.86,-5.324,0.0554,0.0991,0,0.262,0.437,127.075,232947,pop,1784,3927
1HuIahUPUXCx7Kz4rgMXFU,O.D.D.,60,0.553,0.611,-6.468,0.0464,0.00935,1.04E-06,0.149,0.369,154.094,222689,pop,1790,3388
0jHVNBt8A9L8qEAB8XxGuB,Alone With You,63,0.567,0.348,-12.658,0.0667,0.767,0.0145,0.114,0.305,124.692,226278,pop,1786,4224
0x3TibRgnSqzkcwrqBd4iX,Down On Me,73,0.7,0.598,-7.783,0.114,0.0369,0,0.111,0.594,160.041,228453,pop,1789,4225
5zCunX8URvLoBHlg1Fnjv6,Already Gone,69,0.418,0.248,-9.997,0.0451,0.954,4.21E-06,0.108,0.298,130.953,243007,pop,1794,4226
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,79,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,pop,1792,4227
2aI21FnmY7TJVKeMaoQZ0t,Say It Right,79,0.872,0.872,-6.328,0.139,0.0476,0.00112,0.0543,0.809,116.948,223080,pop,1791,3389
3A4U3uNNsMaI1vWBey3VYH,Plan B,66,0.898,0.522,-5.872,0.337,0.0674,0,0.108,0.675,85.054,163765,pop,1782,3380
6N22FZs2ZhPBYi3b9XPajV,Still Dont Know My Name,78,0.316,0.63,-5.963,0.117,0.471,0.262,0.205,0.313,89.643,153294,pop,1797,4228
2oap3QptGISyIvwKpnJJId,Experience,59,0.614,0.809,-4.749,0.0738,0.0105,0.000353,0.148,0.354,112.023,176774,pop,1801,3935
4nvGIQPgLnWWJUJrnRsIOX,gfy with Machine Gun Kelly,62,0.744,0.732,-3.036,0.0522,0.0264,0,0.352,0.387,121.086,174067,pop,1788,4229
3bWubl9oMzs5Z1n5KZXSSz,can I call you back,56,0.647,0.319,-9.987,0.0367,0.827,0,0.133,0.267,126.243,153059,pop,1796,4230
4mL59LVbKgOpEACxraGYdr,While Were Young,70,0.649,0.791,-6.013,0.193,0.104,1.97E-06,0.108,0.811,128.023,236160,pop,1798,3396
4sNwdacKyi2S26WrRtNama,Oh No,72,0.77,0.896,-3.971,0.039,0.0539,0,0.243,0.964,126.999,182587,pop,1799,4231
2DPYlWl50ydYsnnuryL5aX,Cooler Than Me feat. Big Sean,69,0.837,0.515,-4.065,0.0793,0.103,0,0.233,0.769,129.001,227840,pop,1785,4232
6M6Tk58pQvABy6ru66dY3d,No Money,68,0.674,0.915,-3.999,0.0411,0.0282,0.00337,0.273,0.78,126.038,191293,pop,1795,4233
