artist_id,album_id,,
1,1,,
2,2,,
3,3,,
4,4,,
5,5,,
6,6,,
7,7,,
8,8,,
9,9,,
10,10,,
11,11,,
12,12,,
13,13,,
14,14,,
15,15,,
16,16,,
17,17,,
18,18,,
19,19,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
101,101,,
102,102,,
103,103,,
104,104,,
105,105,,
106,106,,
107,107,,
108,108,,
109,109,,
110,110,,
111,111,,
112,112,,
113,113,,
114,114,,
115,115,,
116,116,,
117,117,,
118,118,,
119,119,,
120,120,,
121,121,,
122,122,,
123,123,,
124,79,,
125,124,,
126,125,,
127,126,,
128,127,,
129,128,,
130,129,,
131,130,,
132,131,,
133,132,,
134,133,,
135,134,,
136,135,,
137,136,,
138,137,,
139,138,,
140,139,,
141,140,,
142,141,,
143,142,,
144,143,,
145,144,,
146,145,,
147,146,,
148,147,,
149,148,,
150,149,,
151,150,,
152,151,,
153,152,,
154,153,,
155,154,,
156,155,,
157,156,,
158,157,,
159,158,,
160,159,,
161,160,,
162,161,,
163,162,,
164,163,,
165,164,,
166,165,,
167,166,,
168,167,,
169,168,,
170,169,,
171,170,,
172,171,,
173,172,,
174,173,,
175,174,,
176,175,,
177,176,,
178,177,,
179,178,,
180,179,,
181,79,,
182,180,,
183,181,,
184,182,,
185,183,,
186,184,,
187,185,,
188,186,,
189,187,,
190,188,,
191,189,,
192,190,,
193,191,,
194,192,,
195,193,,
196,194,,
197,195,,
198,196,,
199,197,,
200,198,,
201,199,,
202,200,,
203,201,,
204,202,,
205,203,,
206,204,,
207,205,,
208,206,,
209,207,,
210,208,,
211,209,,
212,210,,
213,211,,
214,212,,
215,213,,
216,214,,
217,215,,
218,216,,
219,217,,
220,218,,
221,219,,
222,220,,
223,221,,
224,222,,
1,223,,
2,224,,
3,225,,
5,226,,
4,227,,
9,228,,
11,229,,
12,230,,
15,231,,
14,232,,
17,233,,
19,234,,
20,235,,
25,236,,
21,227,,
26,237,,
28,238,,
30,239,,
32,240,,
36,241,,
40,242,,
41,243,,
42,244,,
43,245,,
45,246,,
46,79,,
47,247,,
48,248,,
49,249,,
50,250,,
51,251,,
52,252,,
53,253,,
56,254,,
57,255,,
58,256,,
61,257,,
62,258,,
64,259,,
65,260,,
66,261,,
67,262,,
70,263,,
71,264,,
74,265,,
75,266,,
76,267,,
77,268,,
78,269,,
81,270,,
82,271,,
83,272,,
84,273,,
85,274,,
86,275,,
89,276,,
90,277,,
91,278,,
93,279,,
98,132,,
100,280,,
102,281,,
104,282,,
106,283,,
107,284,,
108,285,,
110,286,,
111,287,,
112,288,,
113,289,,
114,290,,
116,291,,
119,198,,
121,292,,
120,293,,
123,294,,
125,295,,
126,296,,
128,297,,
129,298,,
130,299,,
131,300,,
132,301,,
133,302,,
135,303,,
137,304,,
140,305,,
142,306,,
143,307,,
145,308,,
146,309,,
148,310,,
149,311,,
151,312,,
152,313,,
153,314,,
2,315,,
6,316,,
4,317,,
8,318,,
9,319,,
13,320,,
15,321,,
14,322,,
17,323,,
16,324,,
19,79,,
18,325,,
20,326,,
22,327,,
25,328,,
27,329,,
26,227,,
30,330,,
29,331,,
31,332,,
34,333,,
35,334,,
33,335,,
42,336,,
43,337,,
44,338,,
47,339,,
48,340,,
49,341,,
51,342,,
52,343,,
54,344,,
55,345,,
56,346,,
58,347,,
62,348,,
66,349,,
67,350,,
68,325,,
70,351,,
76,352,,
225,353,,
226,354,,
227,355,,
88,356,,
228,357,,
21,358,,
88,359,,
33,360,,
101,361,,
229,362,,
146,363,,
53,364,,
88,365,,
230,366,,
